leiden_0.3,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells,dominant_celltype,purity
0,0.001950743721043648,0.0001950743721043648,0.0011704462326261888,0.0002926115581565472,0.0011704462326261888,0.0001463057790782736,9.75371860521824e-05,0.0011704462326261888,0.9938063886856864,T-cells,0.9938063886856864
1,0.0,5.807538184563563e-05,0.9292641849120158,0.00011615076369127126,5.807538184563563e-05,0.06934200592368894,0.0,0.0005807538184563563,0.0005807538184563563,Cancer Epithelial,0.9292641849120158
2,0.00014920919128618324,0.0,0.0,0.0,0.0006714413607878246,0.0,0.0,0.0,0.999179349447926,T-cells,0.999179349447926
3,0.005486230636833046,0.00010757314974182444,0.0006454388984509467,0.00193631669535284,0.9890275387263339,0.0,0.0,0.0,0.0027969018932874354,Myeloid,0.9890275387263339
4,0.00039499670836076365,0.0006583278472679394,0.0005266622778143515,0.9907834101382489,0.003949967083607637,0.0,0.0017116524028966426,0.0,0.0019749835418038184,Endothelial,0.9907834101382489
5,0.0008068854222700376,0.0,0.7161108122646584,0.00013448090371167293,0.0,0.2756858526089295,0.0,0.0013448090371167294,0.005917159763313609,Cancer Epithelial,0.7161108122646584
6,0.0,0.9458651114101989,0.04725586959772693,0.0002990877822640945,0.00014954389113204725,0.0,0.005682667863017796,0.0,0.0007477194556602363,CAFs,0.9458651114101989
7,0.0,0.03828429634881248,0.009393831974477136,0.0007089684509039348,0.0,0.0003544842254519674,0.9505494505494505,0.0,0.0007089684509039348,PVL,0.9505494505494505
8,0.01465302737074924,0.0002764722145424385,0.003870611003594139,0.0,0.000552944429084877,0.0,0.0,0.9596350566768039,0.021011888305225324,Plasmablasts,0.9596350566768039
9,0.0003074085459575776,0.0,0.6175837688287734,0.014448201660006148,0.008300030740854596,0.0,0.0006148170919151552,0.0006148170919151552,0.35813095604057793,Cancer Epithelial,0.6175837688287734
10,0.9563716258631513,0.005649717514124294,0.0,0.0,0.023540489642184557,0.0,0.0006277463904582549,0.001569365976145637,0.01224105461393597,B-cells,0.9563716258631513
11,0.0,0.001583531274742676,0.12747426761678543,0.0,0.0,0.8653998416468726,0.001583531274742676,0.001583531274742676,0.0023752969121140144,Normal Epithelial,0.8653998416468726
12,0.0,0.0,0.9980119284294234,0.0,0.0,0.0,0.0019880715705765406,0.0,0.0,Cancer Epithelial,0.9980119284294234
13,0.006389776357827476,0.0,0.0,0.0,0.9936102236421726,0.0,0.0,0.0,0.0,Myeloid,0.9936102236421726
14,0.008064516129032258,0.0,0.532258064516129,0.0,0.008064516129032258,0.0,0.0,0.0,0.45161290322580644,Cancer Epithelial,0.532258064516129
15,0.0,0.0,0.38095238095238093,0.0,0.0,0.6190476190476191,0.0,0.0,0.0,Normal Epithelial,0.6190476190476191
