gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
MYC,60.198704,3.3532984,0.0,0.0
CD44,59.66517,2.5359955,0.0,0.0
VIM,53.760292,5.687868,0.0,0.0
RPS6,44.07105,1.0549242,0.0,0.0
RPL13,42.55218,0.8775293,0.0,0.0
EEF1B2,41.786694,1.01788,0.0,0.0
LDHB,41.61984,3.2958736,0.0,0.0
PABPC1,40.700066,0.97279036,0.0,0.0
CALD1,40.402687,3.2142115,0.0,0.0
RPS3,40.2406,0.83174616,0.0,0.0
RPL4,40.061092,1.1359673,0.0,0.0
YBX1,39.986313,1.5702734,0.0,0.0
RPS27A,38.69649,0.93280727,0.0,0.0
SOX9,38.04357,2.2469857,0.0,0.0
HLA-B,37.338703,2.0516524,3.867386215017026e-305,4.999521492656575e-302
CAV1,37.210213,5.3124404,4.665931965411281e-303,5.7805064636489006e-300
FSCN1,37.079643,4.1911817,5.980580754751467e-301,7.112824303241014e-298
CYBA,36.39751,2.22487,4.6611619349961054e-290,5.330397223586124e-287
COTL1,36.26188,3.0399997,6.457434690546109e-288,7.111070579778053e-285
EEF1A1,34.74727,0.62476766,1.5241552172063372e-264,1.2947916306627437e-261
ANXA1,33.87601,2.9103057,1.5029460746283122e-251,1.241308212136767e-248
RPS16,33.835255,0.84401,5.9804460441533786e-251,4.679384269231905e-248
B2M,33.56764,1.1338706,4.978446608485821e-247,3.700603825252723e-244
TPT1,33.53563,0.77537334,1.4584840758435897e-246,1.0576855372453038e-243
HLA-A,33.40023,1.6456671,1.3604754490460304e-244,9.40721314569433e-242
S100A4,33.365837,3.1495478,4.293028778395496e-244,2.836547214845184e-241
HLA-E,32.58073,1.6470919,7.689848071548226e-233,4.572845054226868e-230
RPL18A,32.42277,0.67920196,1.311158420588712e-230,7.497052561416187e-228
FABP5,32.20851,2.093947,1.3413783772625806e-227,7.25149150748151e-225
MFGE8,31.877817,3.8498797,5.420530447644405e-223,2.8780112821394838e-220
CAV2,31.587357,3.5071006,5.5070459033258864e-219,2.8231206179929067e-216
TIMP3,31.17319,2.9242415,2.4606030210910214e-213,1.2193518271016557e-210
