gene,spearman_r,pval
TMSB15A,-0.3173353148538042,0.0
LINC01285,-0.3123411518072624,0.0
MFAP2,-0.29608372995354865,0.0
CTAG2,-0.2946421270566689,0.0
LIN28B,-0.2945682496893029,0.0
SFN,-0.29147098274409144,0.0
SERPINE1,-0.279661124298528,0.0
FABP7,-0.2784228314531202,0.0
HGF,-0.27437494392376893,0.0
TDO2,-0.27252822263274373,0.0
RP11-865I6.2,-0.2710636073152215,0.0
DEFB1,-0.2649097775598236,0.0
STMN1,-0.26363974354932235,0.0
CD70,-0.2624848076782481,0.0
IGKV3-15,-0.26153085883761923,0.0
AIM1,-0.2576194342781352,0.0
TPM1,-0.2560250754705302,0.0
PLAU,-0.25481209900985013,0.0
KYNU,-0.25468491227937823,0.0
ARHGAP22,-0.2501824622366712,0.0
CLCA2,-0.2467554212932222,0.0
S100A8,-0.24670827687007796,0.0
CXCL2,-0.24659955610913376,0.0
RP11-206M11.7,-0.24620792024978433,0.0
CLMP,-0.2445836222471922,0.0
DKK3,-0.24390057176610963,0.0
FGF5,-0.2385031803018114,0.0
IGKV4-1,-0.23439316573128596,7.469335784741298e-303
LINC01605,-0.23224961995023197,3.1784075307053116e-297
NNMT,-0.2287764334455495,3.1678713690150524e-288
IGHV6-1,-0.22738102363832144,1.1850676072995691e-284
ADAMTSL1,-0.22709664122897516,6.29419158400187e-284
MLLT11,-0.22560800747376195,3.790382703433511e-280
FLNC,-0.22356185775955756,5.360096832464001e-275
HMGA2,-0.22329614422888286,2.478655178197042e-274
PITX1,-0.22168318564943867,2.585297780749103e-270
PCDH7,-0.2202802603815017,7.6114591574269436e-267
EMILIN1,-0.21870607167356224,5.559845926634828e-263
APOD,-0.21807663034398284,1.9116331031344225e-261
TMEM119,-0.2176001636365794,2.7614183267424395e-260
RGS20,-0.21758362037872692,3.02934501238218e-260
C6orf203,-0.21536422395180027,7.019177719357082e-255
HMGB3,-0.21407606903552617,8.560578298709656e-252
IGKV3-20,-0.21407057792935716,8.822985237299616e-252
HTRA1,-0.21354314978515626,1.5972350494892854e-250
PTN,-0.20762058739060196,1.2428297856586563e-236
TUBB3,-0.2074902647515455,2.4847917323135264e-236
ATG5,-0.20637933265057393,8.949087513639848e-234
COL1A1,-0.2059136693878755,1.0445525920106285e-232
MT2A,-0.2058241178529453,1.6743780321150068e-232
NT5E,-0.2057356780287792,2.6677044172045064e-232
COL6A3,-0.20501505060833164,1.1772670606537725e-230
TYMS,-0.20405168817968,1.8190200795143918e-228
MMP14,-0.20367678227738545,1.2843369656732809e-227
IGF2BP3,-0.20227309747667319,1.8698060953081563e-224
CTSK,-0.20047097436055064,1.9862962352954955e-220
CCDC80,-0.1999573864266369,2.7437738229687375e-219
RP5-884M6.1,-0.19896325285410965,4.331222482952477e-217
MAP1A,-0.1989098619422486,5.679829655414356e-217
RP11-680F8.1,-0.19550968847125172,1.5183532784369965e-209
ADAMTS2,-0.19539514541145186,2.686377106605189e-209
TMC5,-0.19504011309241293,1.5711742506700717e-208
LOXL2,-0.1942978053537497,6.239473574633299e-207
AKR1B10,-0.19341444681280903,4.890397664212211e-205
SNAI2,-0.19337055845101447,6.070331308145374e-205
COL5A1,-0.1915833242978791,3.857363793110947e-201
CYP1B1,-0.19084550586992577,1.3971491563044284e-199
FRZB,-0.18922054537757443,3.5966496717308526e-196
HIST1H1E,-0.1887408857177545,3.603182325897655e-195
OLFML2B,-0.18816021965278254,5.815377745138151e-194
MME,-0.18721339726950248,5.316111970491004e-192
IGKV1-9,-0.18701533308468074,1.3629392370467618e-191
EGLN3,-0.18480390204844122,4.659176401585614e-187
BGN,-0.18441718861866452,2.85247035776819e-186
LINC00704,-0.1843899508381468,3.2402621014876474e-186
TFPI,-0.18383552825339602,4.320261399811035e-185
COL5A2,-0.18283452229885128,4.543664619594431e-183
SPARC,-0.17963686967389483,1.0899715798508384e-176
CSTB,-0.17868153944090542,8.322608259799099e-175
COL6A2,-0.17759529899344415,1.1172334067791044e-172
S100A9,-0.17696022014622415,1.9312629876416313e-171
HIST1H4C,-0.1768811658553388,2.751564920630316e-171
HSD17B2,-0.17668534577382888,6.608160134189144e-171
ADAM12,-0.1751543045631403,6.020709836167e-168
