gene,in_brca_de,in_brca_attn,in_gbm_neo,in_consensus,brca_de_log2fc,brca_attn_score,gbm_de_log2fc
ANXA1,True,False,True,False,2.9103057,,0.462501
CALU,True,False,True,False,1.2641081,,0.27191764
CAV1,True,False,True,False,5.3124404,,0.566272
CD44,True,True,True,True,2.5359955,3.536707534968296,0.538176
CDKN2A,False,True,True,False,,2.1024054946942567,0.3294079
EMP1,True,False,True,False,1.3458169,,0.28144896
FN1,True,True,True,True,3.6000984,1.7418036842346192,0.30134147
GEM,True,False,True,False,2.3812687,,0.2791913
HLA-A,True,False,True,False,1.6456671,,0.28172684
HLA-B,True,False,True,False,2.0516524,,0.2988239
IGFBP7,True,False,True,False,2.5724154,,0.35335803
LMNA,True,False,True,False,0.8788263,,0.28976262
MYC,True,True,True,True,3.3532984,2.395329188851632,0.5181047
NFKBIA,True,False,True,False,1.0257138,,0.3345313
OSMR,False,True,True,False,,1.9869730472564695,0.3116845
SGK1,True,False,True,False,2.652896,,0.32478726
SOD2,True,False,True,False,1.3578819,,0.5960451
TPM4,True,False,True,False,0.81302804,,0.2672925
VIM,True,True,True,True,5.687868,2.4287385064435294,0.34960687
WWTR1,True,False,True,False,1.5166758,,0.3040526
