gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
SERPINE2,0.8633106575963719,0.6616957,0.0,0.0
SERPINA3,0.8602418745275888,1.8357409,0.0,0.0
XAGE1A,0.8453363567649282,1.4024767,0.0,0.0
XAGE1C,0.8425749559082892,1.3830199,0.0,0.0
TIMP1,0.842464096749811,0.566854,0.0,0.0
XAGE1E,0.8421315192743765,1.3793821,0.0,0.0
XAGE1B,0.8419904257999496,1.3751699,0.0,0.0
XAGE1D,0.841809019904258,1.3740993,0.0,0.0
A2M,0.8372285210380448,1.200005,0.0,0.0
CST3,0.8308591584782061,0.4731059,0.0,0.0
TM4SF1,0.822564877802973,1.4338479,0.0,0.0
MT2A,0.8150113378684807,0.44623327,6.25e-43,9.473790557439975e-40
MIA,0.8122751322751323,0.82345796,1.289e-42,1.823952501940611e-39
SLC26A2,0.8009322247417485,0.982972,1.536658e-39,1.9182918968843346e-36
NDRG1,0.8000453514739229,1.2129135,1.5e-44,2.51632243160703e-41
S100A6,0.7973948097757622,0.41105556,1.764838e-38,2.0807440321515533e-35
PLEKHB1,0.7930057949105568,1.0374755,6.35227e-40,8.425489611197733e-37
CTSB,0.7916301335348954,0.35246825,4.441666e-37,4.488620676779436e-34
NNMT,0.7912421264802217,1.4833895,1e-45,2.4781963341584393e-42
SLC5A3,0.7900377928949357,0.9210866,3.742197e-38,4.1798370647325025e-35
APLP2,0.7872814310909549,0.6881472,3.2606028e-36,3.145296018028206e-33
MRPS6,0.7775207860922146,0.51867175,6.965012e-34,6.426586322975413e-31
MFI2,0.764570420760897,1.0072258,1.0245347e-33,9.05944811181071e-31
MFGE8,0.7623935500125977,0.5629219,1.9823903e-30,1.3571060638406412e-27
IGF1R,0.7608818342151675,0.65563697,1.8039945e-30,1.2761457126836491e-27
FGFR1,0.7580750818846057,0.88798547,5.8042385e-32,4.9271019405761464e-29
ANXA1,0.7559838750314941,0.87148404,5.4495497e-30,3.5045558582939584e-27
DDR1,0.7526782564877803,0.91449136,1.6043394e-31,1.3095111624765882e-28
LTBP3,0.7513882590073067,0.8070429,1.15795005e-30,8.776434276493988e-28
DYNLRB1,0.7481531872008063,0.330014,2.0454349e-27,1.0335290144628399e-24
ITGB8,0.745930964978584,0.7880104,2.9712388e-28,1.5763907313212028e-25
KRT18,0.7456538170823885,1.2479533,4.870516e-30,3.2300652194281166e-27
S100A16,0.7455983875031494,0.98166966,2.0503143e-29,1.2431934454285983e-26
MAP1B,0.744973544973545,0.8348335,9.174284e-29,5.1235962131692187e-26
LRPAP1,0.7442579994960947,0.38717914,1.3342212e-26,6.4351916698193934e-24
SLC20A1,0.7378281683043588,0.6719893,1.2947965e-25,5.607789966330705e-23
LOXL3,0.7375762156714538,1.0419157,3.704631e-28,1.917553133056227e-25
CSGALNACT1,0.7365280927185689,0.9088076,8.7723936e-29,5.0315604747920063e-26
IER3,0.7351373141849332,0.8222183,6.711072e-26,2.967132736695521e-23
AFAP1,0.7328445452254976,0.87706864,1.3869984e-30,1.014995875511575e-27
PRSS23,0.7321793902746284,0.8576157,1.9192294e-26,8.854323128358111e-24
ITGB3,0.731756109851348,0.8566784,8.4709456e-27,4.180707130059186e-24
ATP1B1,0.7294280675233056,0.71396863,2.0983684e-24,8.096649968179012e-22
FCGR2A,0.7259863945578231,0.8219968,1.8652951e-24,7.3306098883453675e-22
CD151,0.7257646762408667,0.60008407,3.2436828e-23,9.976439937946105e-21
GBP2,0.7251952632905014,1.0008962,1.9031976e-28,1.0356322893513323e-25
CDH19,0.7247215923406399,0.5964751,5.98307e-23,1.7158474811360127e-20
ITGA10,0.7246863189720333,1.0106919,6.529752e-30,4.075717480197323e-27
FAM3C,0.7239103048626858,0.74962294,3.1421604e-24,1.149705650396054e-21
CCND3,0.7232149155958679,0.76847386,9.026793e-24,3.0897840054089656e-21
SSBP2,0.7226807760141093,0.8240462,3.8162113e-24,1.3726717873649154e-21
CLU,0.7218745275888133,1.0999551,1.7461813e-31,1.3724985345141667e-28
EGR1,0.7199143361048123,0.6769546,3.2729677e-22,8.470600167799896e-20
FKBP5,0.719748047367095,0.8789901,3.189759e-22,8.357168433393751e-20
PLEC,0.7195515243134291,0.5892114,4.0183426e-22,1.0032619589372397e-19
CSRP1,0.7195414462081129,0.30950952,7.0928567e-22,1.730167862053401e-19
CD59,0.718795666414714,0.29502678,1.0078378e-21,2.430492445684251e-19
PERP,0.7185185185185186,0.73993087,1.1486234e-23,3.869219854634855e-21
IFRD1,0.7151322751322752,0.51485956,3.6257128e-21,8.015091276232364e-19
TPP1,0.7148652053413959,0.3124709,5.0914627e-21,1.1025614369574354e-18
FAM46A,0.7132527084908037,0.7781932,2.3570618e-24,8.814687788607412e-22
MT1X,0.7130360292265054,0.7587607,6.2623035e-22,1.5453326166813488e-19
SPRY2,0.7118316956412194,0.92112076,8.375268e-24,2.913769602374693e-21
LOXL4,0.7098059964726632,0.8478091,3.4430414e-22,8.803400437491962e-20
HSPA1A,0.7094834971025448,0.57510877,3.2052328e-20,6.3571448754217295e-18
SLC39A14,0.7091811539430587,0.68027174,4.4393576e-21,9.712582125197007e-19
SPRY4,0.7086671705719325,0.64213085,1.9433581e-20,3.9655716877506865e-18
PPP1R9A,0.7080372889896699,0.556774,2.8606965e-23,8.927897137074386e-21
TMEM66,0.7072411186696901,0.29490638,1.0803166e-19,2.011094677782795e-17
SGCE,0.7065558075081885,0.7337395,2.7489631e-21,6.206222884444442e-19
SH3TC2,0.7063794406651549,0.5369619,2.5865997e-22,6.861602307602727e-20
EFNA5,0.704872763920383,0.89466727,5.4465715e-23,1.5833854774154494e-20
IFNGR2,0.7042479213907785,0.43564153,3.0245676e-19,5.439607854994112e-17
APOD,0.7030637440161249,0.49687266,5.3018296e-19,9.222576126480652e-17
TJP1,0.7018745275888133,0.5627323,6.288493e-20,1.2132218552550863e-17
DUSP6,0.7008717561098513,0.4990902,1.0710997e-18,1.7620836105233082e-16
LY6E,0.7001259763164525,0.3191738,1.7152915e-18,2.7890615931875977e-16
ELMO1,0.7,0.8392957,1.9563376e-25,8.303479199319515e-23
CSPG4,0.6999042579994961,0.45602512,1.721643e-18,2.7890615931875977e-16
CTNNA1,0.6984782060972538,0.32108474,3.1546822e-18,4.922695985154193e-16
KIAA1217,0.6971730914588058,0.59131116,3.5820994e-29,2.1116475935661694e-26
JUNB,0.6947896195515243,0.4620911,1.0393098e-17,1.4902860420100962e-15
ZMYND8,0.6945830183925422,0.5412488,7.986837e-18,1.1770600460238368e-15
IL6ST,0.6906928697404888,0.48834682,3.895325e-17,5.199156238726997e-15
PDCD6,0.6905971277399848,0.43265128,5.2965536e-17,6.938485213818901e-15
CTSL1,0.6904308390022675,0.40283012,5.8213994e-17,7.579247690059007e-15
RUNX1,0.6904308390022675,0.5521058,2.650133e-23,8.394197671456877e-21
HM13,0.6902443940539179,0.2601142,7.0091043e-17,8.960675430452319e-15
P4HA2,0.6886873267825648,0.6164361,1.6887592e-17,2.3734336253340993e-15
PRDX2,0.6878054925673973,0.45939803,8.869421e-17,1.1137683523689936e-14
TSC22D3,0.6874981103552532,0.5701326,6.255951e-17,8.095353295759747e-15
RAB34,0.687488032249937,0.5426005,4.553484e-17,6.039627365951615e-15
SEMA3B,0.6869135802469136,0.7759539,3.1039733e-18,4.879446072117474e-16
TMBIM4,0.6865054169816075,0.26519632,2.6717418e-16,3.03206971568272e-14
KCNN4,0.6848878810783573,0.8782808,1.2266038e-20,2.552057508992865e-18
CAV1,0.6847367094986143,0.3178668,4.866035e-16,5.323040831208887e-14
AKAP12,0.6844797178130512,0.6221804,2.28976e-16,2.6553709504137634e-14
ETV4,0.6841269841269841,0.683946,8.6305204e-18,1.26315106784053e-15
ITGA3,0.6841017888636937,0.7080476,2.4536456e-18,3.885915418418061e-16
PKIG,0.6840513983371126,0.648306,2.8616495e-17,3.918059758976163e-15
XIST,0.6839002267573696,0.8169472,1.1322903e-20,2.3791549280122612e-18
DUSP1,0.6838095238095238,0.5344024,3.4325306e-16,3.813882962672689e-14
LINC00649,0.683567649281935,0.3225429,7.194637e-16,7.711342719762499e-14
CSAG3,0.6832703451751071,0.6864694,3.8769604e-18,5.91919806449648e-16
ERRFI1,0.6828319475938524,1.1282772,2.3623473e-23,7.596020432740264e-21
CPVL,0.6821164021164021,0.68067396,3.6666276e-17,4.924884261950814e-15
ARF5,0.6817031997984379,0.27754807,1.3729006e-15,1.4143542491247267e-13
PRKCDBP,0.681305114638448,0.59884894,3.6936134e-16,4.082597091418987e-14
SPP1,0.6808465608465608,0.7003529,2.5300816e-16,2.9023454867589345e-14
SCCPDH,0.6803980851599899,0.36396992,1.9648147e-15,1.9668536407749294e-13
MAGEA10,0.6801914840010078,0.90449965,7.6996956e-17,9.784607172287852e-15
SATB1,0.6785336356764928,0.5877728,1.0380188e-21,2.4751499314454497e-19
