gene,in_brca_de,in_brca_attn,in_gbm_neo,in_mel_csc,in_consensus,in_3cancer_de,in_all4,brca_de_log2fc,brca_attn_score,gbm_log2fc,mel_log2fc
ANXA1,True,False,True,True,False,True,False,2.9103057,1.0042445866429075,0.462501,0.8714840412139893
CAV1,True,False,True,True,False,True,False,5.3124404,1.2470711842179298,0.566272,0.31786680221557617
NFKBIA,True,False,True,True,False,True,False,1.0257138,0.8806979642974005,0.3345313,0.5076032876968384
S100A6,True,True,False,True,True,False,False,0.97108525,1.6385853526492913,,0.4110555648803711
SERPINE2,True,True,False,True,True,False,False,4.666991,2.9922173817952475,,0.6616957187652588
AMD1,True,False,False,True,False,False,False,0.8534827,0.5448337112154279,,0.4496941566467285
CAV2,True,False,False,True,False,False,False,3.5071006,0.9000421437350187,,0.4495433568954468
CHI3L1,False,False,True,True,False,False,False,3.5072963,0.9193390905857086,0.81978536,1.2484326362609863
CRYAB,True,False,False,True,False,False,False,3.0856247,0.9345629444489112,,0.6289000511169434
DUSP1,False,False,True,True,False,False,False,,0.8068898179701396,0.52247685,0.5344023704528809
DUSP6,False,False,True,True,False,False,False,,0.6545290052890778,0.44489664,0.49909019470214844
EGR1,False,False,True,True,False,False,False,0.77600765,0.8752520118440901,0.3330052,0.6769546270370483
ERRFI1,True,False,False,True,False,False,False,1.1227341,0.6745596296578935,,1.1282771825790405
FAM3C,True,False,False,True,False,False,False,2.0834332,0.6335762681499604,,0.7496229410171509
IER2,False,False,True,True,False,False,False,,0.9100236847621052,0.4154783,0.3990132808685303
IFRD1,True,False,False,True,False,False,False,1.0574688,0.5932237276664147,,0.5148595571517944
JUNB,False,False,True,True,False,False,False,,1.0084001859840082,0.4446342,0.4620910882949829
KCNN4,True,False,False,True,False,False,False,3.0401585,1.3214699016964957,,0.8782808184623718
LOXL4,False,True,False,True,False,False,False,7.9140863,1.8462066650390625,,0.8478090763092041
MAP1B,True,False,False,True,False,False,False,3.8628662,,,0.8348335027694702
MCL1,False,False,True,True,False,False,False,0.5409095,0.5927840116478148,0.31520995,0.4268527030944824
MFGE8,True,False,False,True,False,False,False,3.8498797,1.5552065014839171,,0.5629218816757202
MT2A,False,False,True,True,False,False,False,0.50368744,0.8016773344472398,0.4539646,0.44623327255249023
NNMT,False,False,True,True,False,False,False,0.87452793,0.7767529487609863,0.3910196,1.4833894968032837
OSMR,False,True,True,True,False,False,False,0.85529345,1.9869730472564695,0.3116845,0.8910369277000427
PRKCDBP,True,False,False,True,False,False,False,4.1619096,,,0.5988489389419556
PTRF,True,False,False,True,False,False,False,3.868555,,,0.5695123672485352
S100A4,True,False,False,True,False,False,False,3.1495478,0.8788690544940807,,0.982271134853363
SERPINE1,False,False,True,True,False,False,False,5.0256553,,0.40488073,0.8755385875701904
SFRP1,True,False,False,True,False,False,False,3.2087996,1.499656319618225,,1.3100842237472534
SPP1,False,False,True,True,False,False,False,2.7014592,1.094261646270752,0.74199337,0.7003529071807861
TIMP1,False,False,True,True,False,False,False,,0.7059721435819354,0.38547695,0.5668540000915527
