gene,DE_rank,GF_rank,GF_attention,func_log2FC,func_gates_up,surface,surface_evidence,pathways,in_consensus,in_GBM,in_melanoma,GF_unique,priority_score
SERPINE2,46.0,6.0,2.992,0.664,2/3,True,"extracellular matrix, extracellular space",BMP/TGFβ; EMT/mesench,True,False,True,False,7.3
CD44,2.0,4.0,3.537,1.355,4/4,True,"cell surface, extracellular exosome, extracellular space, membrane raft, plasma membrane",,True,True,False,False,7.12
EPCAM,69.0,22.0,2.423,2.426,4/4,True,"cell surface, extracellular exosome, plasma membrane",,True,False,False,False,6.61
VIM,3.0,21.0,2.429,0.163,2/3,True,"extracellular exosome, plasma membrane",EMT/mesench,True,True,False,False,5.9
SOX9,14.0,1.0,5.111,0.927,3/3,False,,Wnt; Pluripotency,True,False,False,False,5.87
FZD7,851.0,3.0,3.884,0.061,2/4,True,plasma membrane,Wnt,False,False,False,True,5.38
KLF4,52.0,2.0,4.845,0.214,1/3,False,,Wnt; Pluripotency,True,False,False,False,5.09
BMPR1B,,14.0,2.593,0.385,2/3,True,plasma membrane,BMP/TGFβ,False,False,False,True,5.04
KLK5,474.0,34.0,2.264,2.254,4/4,True,extracellular space,,False,False,False,True,4.71
SFRP1,49.0,270.0,1.5,2.189,4/4,False,,Wnt,False,False,True,False,4.69
S100A6,176.0,173.0,1.639,1.478,3/3,True,"extracellular exosome, extracellular matrix, extracellular space, plasma membrane",,True,False,True,False,4.48
FOXI1,2089.0,11.0,2.711,1.933,3/3,False,,,False,False,False,True,4.27
ALDH1A3,1400.0,5.0,2.999,-0.033,1/3,True,extracellular exosome,,False,False,False,True,4.2
MME,1082.0,18.0,2.452,0.73,2/3,True,"cell surface, extracellular exosome, extracellular space, membrane raft, plasma membrane",,False,False,False,True,4.15
FN1,78.0,135.0,1.742,-0.217,1/3,True,"extracellular exosome, extracellular matrix, extracellular space, plasma membrane",EMT/mesench,True,True,False,False,4.0
CALML5,1016.0,29.0,2.32,1.176,2/3,True,extracellular space,,False,False,False,True,3.94
MYC,1.0,26.0,2.395,-0.485,1/3,False,,Wnt; Pluripotency,True,True,False,False,3.94
GABRE,,12.0,2.665,-0.556,2/3,True,plasma membrane,,False,False,False,True,3.78
S100A4,26.0,1661.0,0.879,1.279,3/3,False,,EMT/mesench,False,False,True,False,3.78
OSMR,1104.0,71.0,1.987,-0.275,1/3,True,plasma membrane,JAK/STAT,False,True,True,False,3.5
CSAG1,,9.0,2.858,0.879,3/3,False,,,False,False,False,True,3.34
