gene_symbol,lr_coef,lr_abs
MYC,0.52400696,0.52400696
CD44,0.49659374,0.49659374
KLF4,0.42444563,0.42444563
SOX9,0.24035254,0.24035254
ID3,0.22411916,0.22411916
EPCAM,0.20497923,0.20497923
ID1,0.1813931,0.1813931
NOTCH2,0.16745107,0.16745107
LIN28B,0.16002452,0.16002452
ALDH1A3,0.1576956,0.1576956
ITGA6,0.15317293,0.15317293
BMI1,0.13482244,0.13482244
KLF5,0.13465263,0.13465263
ALDH1A1,0.12172648,0.12172648
EZH2,0.116989955,0.116989955
VIM,0.11166694,0.11166694
FN1,0.10992443,0.10992443
TEAD1,0.10964773,0.10964773
YAP1,0.10798207,0.10798207
DNMT3B,0.10511419,0.10511419
PROM1,0.08802318,0.08802318
TRIB1,0.07498651,0.07498651
SNAI1,0.06851622,0.06851622
CEBPB,0.067278735,0.067278735
HES1,0.06550187,0.06550187
JUNB,0.06254874,0.06254874
TIPARP,0.062410645,0.062410645
LMNA,0.06208016,0.06208016
ZFP36L2,0.05984269,0.05984269
WNT5A,0.05744299,0.05744299
SOCS3,0.05608823,0.05608823
GPRC5A,0.055555005,0.055555005
FOXM1,0.054585367,0.054585367
GEM,0.051909514,0.051909514
BCL3,0.0508007,0.0508007
GSC,0.05064191,0.05064191
NOTCH1,0.050562248,0.050562248
BHLHE40,0.050478395,0.050478395
POU5F1,0.049904138,0.049904138
KLF6,0.049598455,0.049598455
NEDD9,0.049043555,0.049043555
RPL22L1,0.048932895,0.048932895
BTG1,0.048651185,0.048651185
RASSF10,0.048484124,0.048484124
ATF3,0.048272837,0.048272837
LDHB,0.04796738,0.04796738
LEFTY1,0.047786146,0.047786146
SLC25A25,0.04693841,0.04693841
PLK3,0.04681728,0.04681728
BTG2,0.046324175,0.046324175
FAM133B,0.046086065,0.046086065
ZNF750,0.04535018,0.04535018
CSTA,0.045269653,0.045269653
FOSB,0.04494602,0.04494602
NR4A1,0.04462163,0.04462163
AREG,0.044473406,0.044473406
EGR1,0.04410625,0.04410625
ARHGEF28,0.043426517,0.043426517
CEBPD,0.043120567,0.043120567
OVOL1,0.042998154,0.042998154
AC116035.1,0.042732224,0.042732224
PTMA,0.04270074,0.04270074
ETS2,0.04250578,0.04250578
TIMP3,0.042344388,0.042344388
RAB7B,0.042340837,0.042340837
FZD7,0.042251263,0.042251263
ZNF649,0.04169832,0.04169832
CBR4,0.041150786,0.041150786
FSCN1,0.04053155,0.04053155
MAFF,0.040345743,0.040345743
TOB1,0.040305667,0.040305667
FOSL2,0.040264677,0.040264677
FABP5,0.040262762,0.040262762
TOB2,0.04020352,0.04020352
BOK-AS1,0.03982033,0.03982033
C8orf4,0.039114926,0.039114926
VIM-AS1,0.0387886,0.0387886
ELF3,0.03873148,0.03873148
ARL4D,0.038524024,0.038524024
DUSP1,0.03831219,0.03831219
UCK2,0.03824509,0.03824509
HSPA4L,0.03820004,0.03820004
PDE4B,0.03818142,0.03818142
MPZ,0.038172062,0.038172062
SERPINE2,0.03770621,0.03770621
RP11-495P10.5,0.037681565,0.037681565
TATDN3,0.037626203,0.037626203
GADD45G,0.037618376,0.037618376
CYTH1,0.03759819,0.03759819
ITGB1,0.03745518,0.03745518
AXIN2,0.03713996,0.03713996
ZNF296,0.036849916,0.036849916
EMP1,0.036800355,0.036800355
TCEAL2,0.036583513,0.036583513
SDC4,0.03658068,0.03658068
CDC42EP4,0.036538854,0.036538854
AC018890.6,0.036454923,0.036454923
DNAJB9,0.036328606,0.036328606
HULC,0.036254298,0.036254298
JDP2,0.03619612,0.03619612
MLLT4,0.036176633,0.036176633
PHLDA2,0.03606631,0.03606631
PTPRN,0.036063854,0.036063854
STK38L,0.03582925,0.03582925
RAB20,0.035799637,0.035799637
ERRFI1,0.035768073,0.035768073
YPEL2,0.035638746,0.035638746
TGIF1,0.035569534,0.035569534
NRARP,0.03542915,0.03542915
AC005481.5,0.035351794,0.035351794
RP11-79N23.1,0.035306785,0.035306785
GLMP,0.035170775,0.035170775
CALD1,0.035082776,0.035082776
RP3-438O4.4,0.03490757,0.03490757
JADE3,0.034866523,0.034866523
DNAJB4,0.03473737,0.03473737
ARHGEF15,0.034678143,0.034678143
RP11-400D2.2,0.034651574,0.034651574
RP11-525G13.2,0.03451378,0.03451378
BAMBI,0.034404147,0.034404147
LURAP1L,0.034363415,0.034363415
RP5-1050D4.3,0.034304854,0.034304854
CDC42EP3,0.034299802,0.034299802
AP001347.6,0.03428201,0.03428201
RP11-114O18.1,0.03421366,0.03421366
MNX1-AS2,0.03416395,0.03416395
LRP11,0.034122698,0.034122698
RP11-536G4.1,0.03400147,0.03400147
WHAMM,0.033976026,0.033976026
MT1M,0.033975307,0.033975307
RP11-121C6.5,0.033968635,0.033968635
RP11-70C1.3,0.033952493,0.033952493
RP5-968J1.1,0.03390369,0.03390369
RHPN2,0.033883497,0.033883497
GADD45B,0.033850767,0.033850767
UGCG,0.033756282,0.033756282
AC004221.2,0.033654716,0.033654716
CAV1,0.033641223,0.033641223
PSAT1,0.03360246,0.03360246
ZNF438,0.033536185,0.033536185
RGS16,0.033460774,0.033460774
DUSP10,0.03342437,0.03342437
SIK2,0.033382237,0.033382237
LMBR1,0.033372965,0.033372965
S100A2,0.03334449,0.03334449
RP11-47J17.3,0.033198625,0.033198625
RP11-79E3.3,0.03318653,0.03318653
RP11-686O6.1,0.03317746,0.03317746
AMD1,0.03299429,0.03299429
MYO1B,0.032890055,0.032890055
AC004862.6,0.032873545,0.032873545
RP11-93G5.1,0.032853674,0.032853674
CTNND1,0.032848828,0.032848828
SOX10,0.032781914,0.032781914
DIMT1,0.03277089,0.03277089
DSC2,0.03271025,0.03271025
NOMO1,0.032596603,0.032596603
RP11-533E19.7,0.03245359,0.03245359
ZNF430,0.032376777,0.032376777
PCDHA5,0.03235291,0.03235291
CREB3L2,0.03234599,0.03234599
PNRC1,0.032335155,0.032335155
PDK4,0.032328624,0.032328624
BMP2K,0.03231445,0.03231445
ACKR2,0.032300696,0.032300696
SERBP1,0.032291513,0.032291513
EHD4,0.03227014,0.03227014
KLF10,0.032226976,0.032226976
CTD-2561B21.11,0.032186244,0.032186244
RP11-168P13.1,0.03217444,0.03217444
ANKH,0.032170206,0.032170206
TRIM71,0.032127943,0.032127943
CLDN4,0.03212418,0.03212418
ZRANB2-AS1,0.03211921,0.03211921
STK32B,0.032069143,0.032069143
SLC4A2,0.03200479,0.03200479
TRIM47,0.03196611,0.03196611
MCM7,0.031963326,0.031963326
CTB-58E17.2,0.0319478,0.0319478
BBX,0.031945594,0.031945594
RASD1,0.031940486,0.031940486
ZFP42,0.03187765,0.03187765
LMO4,0.031737365,0.031737365
BSN-AS2,0.031705927,0.031705927
BHLHE41,0.03170385,0.03170385
FUCA2,0.031668894,0.031668894
TMEM217,0.03164827,0.03164827
SPRY4,0.031543877,0.031543877
CTA-384D8.36,0.031543475,0.031543475
ANGPTL8,0.03151884,0.03151884
RHOV,0.031515185,0.031515185
RP11-881M11.1,0.03147911,0.03147911
LPCAT1,0.03146464,0.03146464
RP11-323I15.5,0.031419255,0.031419255
ANXA1,0.031369653,0.031369653
ACTA2,0.031333912,0.031333912
EMP3,0.03132849,0.03132849
SYT3,0.031314395,0.031314395
ASF1A,0.03130947,0.03130947
PITPNA,0.03119048,0.03119048
CCDC180,0.03114599,0.03114599
SNAI2,0.031140078,0.031140078
COPB1,0.031107856,0.031107856
PIM3,0.031098938,0.031098938
SWAP70,0.030889086,0.030889086
RP11-236L14.1,0.030883778,0.030883778
NUP85,0.030878922,0.030878922
RP11-520P18.5,0.030834021,0.030834021
