ensembl_id,attention_score,gene_symbol
<cls>,103.7137540030101,
<eos>,5.611537195860394,
ENSG00000125398,5.111066132449032,SOX9
ENSG00000136826,4.845247886768759,KLF4
ENSG00000155760,3.8839340209960938,FZD7
ENSG00000026508,3.536707534968296,CD44
ENSG00000184254,2.998909890651703,ALDH1A3
ENSG00000135919,2.9922173817952475,SERPINE2
ENSG00000221867,2.99168438911438,MAGEA3
ENSG00000115112,2.9640467166900635,TFCP2L1
ENSG00000198930,2.857699235280355,CSAG1
ENSG00000077274,2.808509051799774,CAPN6
ENSG00000168269,2.7108006477355957,FOXI1
ENSG00000102287,2.6650710105895996,GABRE
ENSG00000163635,2.6100861231486,ATXN7
ENSG00000138696,2.592622756958008,BMPR1B
ENSG00000197576,2.4839606285095215,HOXA4
ENSG00000103460,2.4580252170562744,TOX3
ENSG00000213401,2.4521125157674155,MAGEA12
ENSG00000196549,2.451850175857544,MME
ENSG00000058673,2.432352998039939,ZC3H11A
ENSG00000168447,2.4298455715179443,SCNN1B
ENSG00000026025,2.4287385064435294,VIM
ENSG00000119888,2.4225806366829645,EPCAM
ENSG00000184058,2.405509114265442,TBX1
ENSG00000176842,2.403310318787893,IRX5
ENSG00000160886,2.400791664918264,LY6K
ENSG00000136997,2.395329188851632,MYC
ENSG00000100842,2.37696905930837,EFS
ENSG00000167578,2.3212578296661377,RAB4B
ENSG00000178372,2.3201118552436433,CALML5
ENSG00000125968,2.294874429702759,ID1
ENSG00000120149,2.2784598725182668,MSX2
ENSG00000184497,2.267961025238037,TMEM255B
ENSG00000122565,2.2640770857150736,CBX3
ENSG00000167754,2.263818989197413,KLK5
ENSG00000122591,2.2500529289245605,HYCC1
ENSG00000117707,2.2495133876800537,PROX1
ENSG00000253352,2.2452711910009384,TUG1
ENSG00000204880,2.233384847640991,KRTAP4-8
ENSG00000157765,2.2326934933662415,SLC34A2
ENSG00000205758,2.2100788865770613,CRYZL1
ENSG00000197415,2.208967407544454,VEPH1
ENSG00000113739,2.1998682022094727,STC2
ENSG00000154188,2.1932015419006348,ANGPT1
ENSG00000086758,2.190678136689322,HUWE1
ENSG00000214300,2.190105676651001,SPDYE3
ENSG00000093144,2.1858914534250897,ECHDC1
ENSG00000204592,2.174866199493408,HLA-E
ENSG00000156508,2.174203428937428,EEF1A1
ENSG00000139263,2.143076539039612,LRIG3
ENSG00000213190,2.1426944732666016,MLLT11
ENSG00000117318,2.1420756365571703,ID3
ENSG00000069482,2.1211854979308726,GAL
ENSG00000135916,2.1202827294667563,ITM2C
ENSG00000120093,2.115439189804925,HOXB3
ENSG00000136630,2.11122989654541,HLX
ENSG00000152292,2.1065497398376465,SH2D6
ENSG00000147889,2.1024054946942567,CDKN2A
ENSG00000087510,2.102266492843628,TFAP2C
ENSG00000188375,2.0913229286670685,H3-5
ENSG00000214756,2.088931606366084,CSKMT
ENSG00000269404,2.0632871985435486,SPIB
ENSG00000105997,2.0604195594787598,HOXA3
ENSG00000099282,2.050163023173809,TSPAN15
ENSG00000105655,2.048944166302681,ISYNA1
ENSG00000109606,2.0367062773023332,DHX15
ENSG00000128645,2.0344623625278473,HOXD1
ENSG00000151846,2.032223105430603,PABPC3
ENSG00000163584,2.0075927075651503,RPL22L1
ENSG00000185686,1.997148164387407,PRAME
ENSG00000152766,1.9905455112457275,ANKRD22
ENSG00000145623,1.9869730472564697,OSMR
ENSG00000120280,1.982063889503479,TASL
ENSG00000197172,1.978643195969718,MAGEA6
ENSG00000275052,1.971551239490509,PPP4R3B
ENSG00000159110,1.9686068428887262,IFNAR2
ENSG00000164764,1.9670420289039612,SBSPON
ENSG00000204913,1.958627700805664,LRRC3C
ENSG00000168887,1.95344082514445,C2orf68
ENSG00000180818,1.9529375008174352,HOXC10
ENSG00000135111,1.950716209411621,TBX3
ENSG00000113140,1.9469656149546306,SPARC
ENSG00000106025,1.934892733891805,TSPAN12
ENSG00000138964,1.9281895160675049,PARVG
ENSG00000163083,1.9262989248548235,INHBB
ENSG00000134602,1.9135772287845612,STK26
ENSG00000035720,1.8977546691894531,STAP1
ENSG00000121898,1.8958099842071534,CPXM2
ENSG00000170561,1.8872520583016532,IRX2
ENSG00000253293,1.8814444541931152,HOXA10
ENSG00000170745,1.8748409246143543,KCNS3
ENSG00000128641,1.8693119470889752,MYO1B
ENSG00000205542,1.8675786410059247,TMSB4X
ENSG00000167985,1.859821013041905,SDHAF2
ENSG00000182952,1.8501788973808289,HMGN4
ENSG00000138131,1.8462066650390625,LOXL4
ENSG00000116132,1.845613956451416,PRRX1
ENSG00000111215,1.845304012298584,PRR4
ENSG00000263528,1.8429650664329529,IKBKE
ENSG00000071575,1.8418800234794617,TRIB2
ENSG00000269858,1.834370391709464,EGLN2
ENSG00000213462,1.8325583934783936,ERV3-1
ENSG00000117602,1.8187937140464783,RCAN3
ENSG00000101144,1.8124357028440996,BMP7
ENSG00000263961,1.811720609664917,RHEX
ENSG00000168743,1.8088737726211548,NPNT
ENSG00000129514,1.8072014110428947,FOXA1
ENSG00000205436,1.804755449295044,EXOC3L4
ENSG00000142864,1.8030591497818629,SERBP1
ENSG00000221823,1.8016950190067291,PPP3R1
ENSG00000139193,1.7938455939292908,CD27
ENSG00000080802,1.7916416923205059,CNOT4
ENSG00000052344,1.7915099153393192,PRSS8
ENSG00000137203,1.7906808038552602,TFAP2A
ENSG00000006534,1.789153814315796,ALDH3B1
ENSG00000153404,1.7875502109527588,PLEKHG4B
ENSG00000145216,1.7872421873940363,FIP1L1
ENSG00000000003,1.7847944736480712,TSPAN6
ENSG00000060339,1.782273998627296,CCAR1
ENSG00000268104,1.7799652814865112,SLC6A14
ENSG00000171243,1.7796123772859573,SOSTDC1
