ligand,gene,axis,spearman_r_vs_stemness,spearman_p,csc_high_minus_low,mw_p,pct_expr_high,pct_expr_low,therapeutic
HLA-E,HLA-E,NKG2A (NK/T inhib),0.241,0.0,0.556,0.0,0.641,0.397,anti-NKG2A (monalizumab); NB CSC-consensus gene
CD47,CD47,'don't eat me',0.091,2.2843990121527465e-46,0.126,7.619591e-39,0.555,0.426,anti-CD47 (magrolimab)
NT5E (CD73),NT5E,adenosine,0.23,5.393052336097624e-292,0.113,0.0,0.118,0.003,anti-CD73
CD276 (B7-H3),CD276,B7 family,0.115,2.162883505295522e-72,0.06,0.0,0.266,0.141,anti-B7-H3 (enoblituzumab)
LGALS9 (Gal-9),LGALS9,TIM-3 axis,0.056,3.570541333949168e-18,0.018,1.7073478e-16,0.089,0.05,anti-Gal-9 / anti-TIM-3
PDCD1LG2 (PD-L2),PDCD1LG2,PD-1 axis,0.114,4.864134854766708e-72,0.014,8.3565e-41,0.032,0.001,anti-PD-1
CD274 (PD-L1),CD274,PD-1 axis,0.064,7.34940514672363e-24,0.009,2.4963734e-17,0.034,0.011,anti-PD-L1 (atezolizumab)
ENTPD1 (CD39),ENTPD1,adenosine,0.038,3.4331226545048697e-09,0.004,2.2167899e-06,0.01,0.003,anti-CD39
HLA-G,HLA-G,ILT2/4 tolerance,-0.0,0.9938176473101574,-0.009,0.80625546,0.033,0.032,anti-HLA-G
VTCN1 (B7-H4),VTCN1,B7 family,0.03,2.1229972538678716e-06,-0.037,0.0001389135,0.244,0.197,anti-B7-H4
CD24,CD24,'don't eat me' (Siglec-10),-0.055,6.962150001124074e-18,-0.289,4.691114e-14,0.801,0.891,CSCs are CD24-low by definition — expect NEGATIVE
