gene_symbol,ig_mean,n_cells,ig_rank
KLF4,1.5596816715072184,17,1
CD44,1.3348585565884907,24,2
MYC,0.7004214907065034,64,3
FN1,0.6837992114680154,14,4
VIM,0.5205548081833583,52,5
SOX9,0.3621012508211767,34,6
EPCAM,0.34024202849781304,57,7
LIN28B,0.2795575418594209,11,8
ERBB3,0.2322482088242065,11,9
ZFP36L2,0.13106302682448318,27,10
TFAP2C,0.12582495606814822,12,11
TOMM22,0.10872389044379815,22,12
CYB5A,0.1075484073037242,47,13
TFAP2A,0.10251183876728949,12,14
VTCN1,0.09115667389282449,11,15
NDUFA1,0.08730799095197157,11,16
NR4A1,0.0830803493303912,35,17
EIF3H,0.07921616511272364,76,18
DDX5,0.07889453843235969,10,19
RAB25,0.07477846902029048,31,20
SCGB2A2,0.0725947373404937,46,21
EFNA1,0.06999986505090622,36,22
PIP,0.06730156477163385,29,23
TNFRSF12A,0.06666418950299959,37,24
HNRNPU,0.06202848022803664,32,25
MCL1,0.06142238558580478,12,26
EFHD1,0.05852878829630624,28,27
EHF,0.05778090948505061,14,28
SMDT1,0.05755954080571731,12,29
PRSS8,0.057523765761288814,12,30
ASS1,0.05668405966935097,16,31
COX8A,0.053708029640427625,34,32
PPDPF,0.05243513827176335,104,33
TSTD1,0.0519191112775909,69,34
SERPINE2,0.050165529034155255,17,35
ATF3,0.04943277797706071,42,36
EZR,0.048908407506705436,27,37
FOSB,0.04885526640074594,28,38
LMNA,0.047865069566819914,78,39
ALDH3B2,0.047594118677079675,15,40
CNBP,0.04550783511444505,53,41
NDUFB10,0.04535229573482458,49,42
CRB3,0.04504027432163379,14,43
SCGB1D2,0.04419258709972853,29,44
IRX3,0.044048657627879746,18,45
SELENBP1,0.043722147265119325,12,46
S100A4,0.04357655871320854,22,47
SDC1,0.04328760167802958,17,48
RBM8A,0.043265595411260925,36,49
EGR1,0.04284027581544299,19,50
PFN1,0.042209588554362916,43,51
PLAU,0.04163588253625979,12,52
EIF4B,0.04122884182826332,23,53
RPL32,0.040684175425888716,37,54
CLU,0.04047215897994845,23,55
ANKRD30A,0.039245261931791904,25,56
PKM,0.03892129915766418,58,57
HSPA8,0.038158532814122736,40,58
LITAF,0.037709553973400034,32,59
APOE,0.036915013058619064,11,60
CA12,0.036774281218337514,15,61
FTH1,0.036631495924666524,132,62
SOD2,0.0363017193487157,23,63
GABRP,0.03625917427813296,11,64
PCBP2,0.035158229663091546,51,65
RPS7,0.03447434859835122,73,66
SERBP1,0.03444581151319047,60,67
JUNB,0.034426626692892925,33,68
H4C3,0.0343524444506329,16,69
RPL10,0.03425369125005661,51,70
CALML5,0.03421856419470928,68,71
CARHSP1,0.033861780566546845,17,72
PPP1R15A,0.03382320407157143,24,73
UFC1,0.03377644016555595,44,74
UQCRQ,0.033665117052993895,29,75
TPM4,0.03291637384716202,34,76
TKT,0.03276055516606128,27,77
RPL39,0.03275757507799426,32,78
SPINT2,0.03235763600505479,91,79
CALM2,0.03227842129557065,71,80
RPS27L,0.03220714200288057,20,81
HAGHL,0.032101235766758156,17,82
CKB,0.03208537141538479,11,83
ACTG1,0.03144549091786637,91,84
PRLR,0.030542113044897894,14,85
TIMP3,0.03049298783298582,24,86
MLPH,0.030301360434598544,22,87
FOS,0.03029467349617996,44,88
RPS12,0.030118470139141325,79,89
MUCL1,0.030107954871314374,23,90
LSM8,0.029963336390210316,16,91
MICOS13,0.029654915493569876,19,92
OAZ1,0.029067002719135156,28,93
KRT18,0.028685591464756795,53,94
AZGP1,0.028447290170218117,55,95
CYP4Z1,0.02839689832347046,14,96
S100A10,0.028350575640797616,60,97
BAMBI,0.028042976748950493,26,98
SKP1,0.02740907685502487,17,99
PPP1R1B,0.02729770371859724,22,100
RPS27A,0.02727687177837562,81,101
HSP90B1,0.027222547662229493,52,102
GNAS,0.0271931649430802,19,103
ZFAND5,0.026978928172452885,22,104
SRSF2,0.026948601959030264,46,105
PHLDA1,0.02678693487848106,19,106
PDZK1IP1,0.026628848537802695,10,107
RPS17,0.02646256974410443,42,108
CAV1,0.02640910019082102,22,109
CLIC1,0.026394727772900035,21,110
TUBA1B,0.026253411350281614,38,111
VAMP8,0.026204276336904836,17,112
CAPN8,0.026009531681087206,22,113
GAPDH,0.025937558848248877,115,114
NHSL3,0.025867143699612755,13,115
SLC25A5,0.025483972463531023,66,116
NBEAL1,0.02540861163288355,41,117
PYDC1,0.0254078511137604,21,118
ZFP36,0.025376106367613643,39,119
S100A13,0.025331151896879373,38,120
RPL10A,0.025198077522218226,50,121
SFRP1,0.024835582132384713,28,122
TMEM219,0.02464833771701642,43,123
TPM2,0.024414939586730564,17,124
CLPSL1,0.02420730123636671,13,125
RPS4X,0.02417478076576327,65,126
ATP1B1,0.024064314656023836,29,127
RPS15,0.024009031392633915,25,128
RPL22L1,0.023900494289894898,45,129
IGFBP5,0.023878099590850372,24,130
NONO,0.023775550140999257,10,131
RPS3A,0.02355066747232168,54,132
JTB,0.023455685309926866,57,133
SLX9,0.02332170344986177,18,134
YWHAZ,0.023239021714872275,39,135
RPS14,0.022954530268907546,25,136
GPRC5A,0.022803257840375107,24,137
DSP,0.022797455235073965,24,138
ITGB1,0.022778749640565366,16,139
PLP2,0.022772425971925258,15,140
FXYD5,0.02276912033557892,10,141
SET,0.022741177429755528,18,142
CLDN3,0.022737482649401997,51,143
NFKBIA,0.022712173419339315,35,144
RPS11,0.022588184876543172,53,145
PSMA7,0.02236883034138606,78,146
TRIB1,0.02232780245443185,21,147
COX4I1,0.0222267145770328,34,148
CRABP1,0.022165884227993395,13,149
GDF15,0.022115237303436376,13,150
COX6A1,0.022088472012673385,23,151
TMC5,0.022086841203937575,14,152
H2AZ1,0.022060468605225335,49,153
RPL36,0.022038173116743564,30,154
ARPC1B,0.021978742054974038,24,155
LDHB,0.02189858274024753,53,156
DBI,0.02175932551472215,64,157
HLA-DRA,0.02163917094003409,16,158
SNRPF,0.021606744344656665,12,159
IER2,0.021392469477778266,53,160
PLAAT3,0.02135537005158077,29,161
APLP2,0.021351313493637877,22,162
SMIM22,0.02133189234882593,12,163
TPM3,0.021312289560834568,21,164
MT-ND4L,0.021305123672765845,85,165
SLC38A2,0.021302163634183153,14,166
CD24,0.0212888728227823,94,167
DUSP1,0.02120357510060645,26,168
TNFRSF11B,0.02117559185717255,24,169
CANX,0.021002390452971063,30,170
BCAM,0.020899606912280433,16,171
NAMPT,0.020533322744692366,12,172
NFKBIZ,0.020478879349927107,15,173
IGFBP4,0.020471343336006007,15,174
HLA-A,0.02046868587947554,36,175
MGP,0.02046130227898128,78,176
CALD1,0.020375118649099022,16,177
FTL,0.020206178013763544,67,178
IFITM3,0.020185481718120474,12,179
DNAJC1,0.020098959147747206,14,180
HSPD1,0.019968866675515614,63,181
TFF3,0.019948103465139866,10,182
RAD23B,0.01988525927828794,11,183
ROMO1,0.019851692602969706,11,184
XBP1,0.019775502807037396,44,185
EBAG9,0.019771851648469098,13,186
TXN,0.01974961870013082,47,187
GAL,0.019716702370295443,13,188
BHLHE40,0.01970786957880827,27,189
ASAH1,0.01969266330706887,16,190
TUBB4B,0.01965905031344543,24,191
MIF,0.019658883630685256,89,192
RPL9,0.019656766258942134,44,193
CRABP2,0.019573095083692447,47,194
GSTP1,0.019541367338970304,50,195
LAMTOR4,0.019478030735626817,16,196
MGST1,0.019476372092229095,94,197
BBLN,0.019440333681324355,26,198
COXFA4,0.01943542857810676,73,199
RPL15,0.019403133186180206,59,200
TIAL1,0.019370587639665853,12,201
PHLDA2,0.01936211912151502,49,202
BST2,0.019170806856473554,37,203
NPM1,0.01914475956665618,35,204
DSC2,0.019139097743512443,30,205
MT2A,0.019105706533247776,33,206
RPS25,0.019068100892410084,37,207
RPS23,0.01895131149545445,56,208
DDAH2,0.018949836635818847,13,209
ELOC,0.018945037581336994,36,210
SOD1,0.018937285128049552,30,211
BCAP31,0.018906766386783642,23,212
HSP90AB1,0.01890026847831905,92,213
ARID4B,0.018852057711531717,12,214
PDLIM1,0.018707579718186304,13,215
PERP,0.018578413445437845,72,216
RPL22,0.018554241470992563,50,217
ACTN1,0.018546745103473466,12,218
SELENOW,0.018523016446047126,47,219
CD59,0.018509348637113968,60,220
DUSP4,0.018484629669480702,22,221
SCGB2A1,0.01840020201724166,26,222
